causa_acidente;tipo_acidente;fase_dia;condicao_metereologica;tipo_veiculo;estado_fisico;count;causa_acidente_criterios;tipo_acidente_criterios;fase_dia_criterios;condicao_metereologica_criterios;tipo_veiculo_criterios
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Animal;Amanhecer;Ceu Claro;Automovel;Ileso;2;4;2;4;1;1
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Animal;Pleno dia;Ceu Claro;Automovel;Ileso;4;4;2;1;1;1
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Animal;Pleno dia;Ceu Claro;Caminhonete;Ileso;1;4;2;1;1;2
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Animal;Pleno dia;Ceu Claro;Nao se aplica;Lesoes Leves;1;4;2;1;1;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Animal;Pleno dia;Ceu Claro;Outros;Lesoes Leves;1;4;2;1;1;5
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Animal;Pleno dia;Ignorado;Nao se aplica;Lesoes Leves;1;4;2;1;0;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Amanhecer;Ceu Claro;Automovel;Ileso;2;4;4;4;1;1
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Amanhecer;Ceu Claro;Nao se aplica;Lesoes Graves;3;4;4;4;1;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Amanhecer;Ceu Claro;Nao se aplica;Obito;1;4;4;4;1;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Amanhecer;Chuva;Caminhonete;Ileso;1;4;4;4;2;2
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Amanhecer;Chuva;Motocicleta;Lesoes Leves;1;4;4;4;2;1
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Amanhecer;Chuva;Nao se aplica;Lesoes Graves;1;4;4;4;2;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Amanhecer;Chuva;Nao se aplica;Obito;1;4;4;4;2;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Amanhecer;Nublado;Automovel;Ileso;1;4;4;4;2;1
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Amanhecer;Nublado;Nao se aplica;Lesoes Graves;1;4;4;4;2;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Anoitecer;Ceu Claro;Automovel;Ileso;2;4;4;4;1;1
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Anoitecer;Ceu Claro;Automovel;Lesoes Graves;1;4;4;4;1;1
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Anoitecer;Ceu Claro;Caminhao;Ileso;1;4;4;4;1;2
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Anoitecer;Ceu Claro;Caminhao-trator;Ileso;1;4;4;4;1;2
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Anoitecer;Ceu Claro;Caminhao-trator;Lesoes Graves;1;4;4;4;1;2
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Anoitecer;Ceu Claro;Motocicleta;Lesoes Leves;2;4;4;4;1;1
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Anoitecer;Ceu Claro;Nao se aplica;Lesoes Graves;1;4;4;4;1;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Anoitecer;Ceu Claro;Nao se aplica;Lesoes Leves;3;4;4;4;1;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Anoitecer;Chuva;Automovel;Ileso;2;4;4;4;2;1
